"customer_id","company_name","email","original_province","clean_province","clean_join_date"
CUST-050,PT Nusantara Tech 52,kontak@nusantaratech.co.id,,Unknown,2023-06-23
CUST-051,Toko Berkah Utama 25,kontak@tokoberkahutama.co.id,Surabaya,Jawa Timur,
CUST-052,PT Sinar Harapan 55,kontak@sinarharapan.co.id, Jakarta ,DKI Jakarta,
CUST-053,Toko Berkah Utama 10,kontak@tokoberkahutama.co.id,Jawa Barat,Jawa Barat,2024-02-18
CUST-054,PT Nusantara Tech 84,kontak@nusantaratech.co.id,Medan,Sumatera Utara,2024-03-04
CUST-055,CV Maju Bersama 97,kontak@majubersama.co.id,Surabaya,Jawa Timur,
CUST-056,CV Karya Mandiri 62,kontak@karyamandiri.co.id,Surabaya,Jawa Timur,
CUST-057,PT Nusantara Tech 22,kontak@nusantaratech.co.id,BDG,Jawa Barat,
CUST-058,PT Digital Nusantara 59,kontak@digitalnusantara.co.id,SURABAYA,Jawa Timur,
CUST-059,PT Sinar Harapan 25,kontak@sinarharapan.co.id,SURABAYA,Jawa Timur,2023-04-22
CUST-060,PT Solusi Data 8,kontak@solusidata.co.id,,Unknown,2023-06-10
CUST-061,PT Nusantara Tech 75,kontak@nusantaratech.co.id,Jawa Barat,Jawa Barat,2023-09-15
CUST-062,PT Nusantara Tech 66,kontak@nusantaratech.co.id,JAKARTA,DKI Jakarta,2024-03-11
CUST-063,CV Maju Bersama 77,kontak@majubersama.co.id,JAKARTA,DKI Jakarta,2023-12-12
CUST-064,PT Logistik Jaya 16,kontak@logistikjaya.co.id,Semarang,Jawa Tengah,2023-05-07
CUST-065,CV Maju Bersama 54,kontak@majubersama.co.id,Makassar,Sulawesi Selatan,2023-10-26
CUST-066,PT Digital Nusantara 27,kontak@digitalnusantara.co.id,Makassar,Sulawesi Selatan,2024-01-02
CUST-067,Toko Berkah Utama 34,kontak@tokoberkahutama.co.id,BDG,Jawa Barat,2023-03-09
CUST-068,CV Karya Mandiri 41,kontak@karyamandiri.co.id,JAKARTA,DKI Jakarta,
CUST-069,CV Maju Bersama 10,kontak@majubersama.co.id,Medan,Sumatera Utara,2023-04-20
CUST-070,PT Sinar Harapan 45,kontak@sinarharapan.co.id,JAKARTA,DKI Jakarta,2024-03-26
CUST-071,Kopi Sejahtera Group 37,kontak@kopisejahteragroup.co.id, Jakarta ,DKI Jakarta,2023-08-13
CUST-072,PT Solusi Data 2,kontak@solusidata.co.id,Makassar,Sulawesi Selatan,2024-02-23
CUST-073,CV Maju Bersama 18,kontak@majubersama.co.id,SURABAYA,Jawa Timur,2023-03-01
CUST-074,PT Solusi Data 20,kontak@solusidata.co.id,SURABAYA,Jawa Timur,2023-05-25
CUST-075,Kopi Sejahtera Group 27,kontak@kopisejahteragroup.co.id,Makassar,Sulawesi Selatan,2023-11-21
CUST-076,PT Solusi Data 63,kontak@solusidata.co.id,SURABAYA,Jawa Timur,2024-04-08
CUST-077,CV Maju Bersama 82,kontak@majubersama.co.id,BDG,Jawa Barat,2024-02-29
CUST-078,PT Nusantara Tech 1,kontak@nusantaratech.co.id,Bandung,Jawa Barat,2024-01-30
CUST-079,PT Digital Nusantara 21,kontak@digitalnusantara.co.id,,Unknown,
CUST-080,PT Solusi Data 2,kontak@solusidata.co.id,JAKARTA,DKI Jakarta,2023-02-08
CUST-081,PT Solusi Data 5,kontak@solusidata.co.id,Bandung,Jawa Barat,2023-10-26
CUST-082,PT Logistik Jaya 17,kontak@logistikjaya.co.id,DKI Jakarta,DKI Jakarta,2023-06-07
CUST-083,PT Nusantara Tech 46,kontak@nusantaratech.co.id,Surabaya,Jawa Timur,2023-12-16
CUST-084,CV Maju Bersama 46,kontak@majubersama.co.id,Medan,Sumatera Utara,
CUST-085,PT Sinar Harapan 31,kontak@sinarharapan.co.id, Jakarta ,DKI Jakarta,2024-05-14
CUST-086,PT Logistik Jaya 4,kontak@logistikjaya.co.id, Jakarta ,DKI Jakarta,2024-01-13
CUST-087,PT Logistik Jaya 86,kontak@logistikjaya.co.id,,Unknown,2024-02-20
CUST-088,PT Digital Nusantara 21,kontak@digitalnusantara.co.id,,Unknown,
CUST-089,PT Nusantara Tech 61,kontak@nusantaratech.co.id,Surabaya,Jawa Timur,
CUST-090,Kopi Sejahtera Group 40,kontak@kopisejahteragroup.co.id,Surabaya,Jawa Timur,2023-04-25
CUST-091,Toko Berkah Utama 52,kontak@tokoberkahutama.co.id,Bandung,Jawa Barat,2023-05-23
CUST-092,PT Digital Nusantara 45,kontak@digitalnusantara.co.id,Makassar,Sulawesi Selatan,
CUST-093,PT Solusi Data 43,kontak@solusidata.co.id,DKI Jakarta,DKI Jakarta,2023-03-01
CUST-094,PT Sinar Harapan 75,kontak@sinarharapan.co.id,SURABAYA,Jawa Timur,2023-01-20
CUST-095,PT Logistik Jaya 45,kontak@logistikjaya.co.id,,Unknown,2024-02-07
CUST-096,PT Logistik Jaya 78,kontak@logistikjaya.co.id,Medan,Sumatera Utara,
CUST-097,Toko Berkah Utama 33,kontak@tokoberkahutama.co.id,DKI Jakarta,DKI Jakarta,
CUST-098,PT Nusantara Tech 67,kontak@nusantaratech.co.id,Medan,Sumatera Utara,2023-12-18
CUST-099,Kopi Sejahtera Group 56,kontak@kopisejahteragroup.co.id,JAKARTA,DKI Jakarta,2024-04-30
CUST-100,Kopi Sejahtera Group 85,kontak@kopisejahteragroup.co.id,JAKARTA,DKI Jakarta,2024-01-04
